Sep=,
,Word,Frequency
0,testified,129
1,stated,121
2,received,116
3,made,90
4,confirmed,53
5,paid,52
6,working,50
7,will,39
8,asked,38
9,required,36
10,reported,36
11,put,34
12,told,34
13,know,31
14,held,29
15,give,29
16,signed,29
17,granted,28
18,going,27
